bibliography,
block_expressions_and_control_flow,
external_links,
function_syntax,
rustfmt,
history,
controversy,
union_types,
modules_and_namespaces,
lexical_closure,
macros,
integration_with_build_automation_tools,
mozilla_sponsorship_,
promises,
declaration_files,
traits,
javafx_application,
syntax_and_semantics,
codedom_provider,
misplaced_trust_in_the_client,
pointers,
libraries_and_frameworks,
javascript_engine,
reference_implementation,
linting_tools,
design_philosophy_and_features,
syntax,
book_sources,
weakly_typed,
while_loops,
libraries,
cross_site_request_forgery,
object_composition_and_inheritance,
api_documentation_generators,
syntax_and_features,
creation_at_netscape,
cargo,
servlet,
swing_application,
clippy,
criticism,
others,
declarative_macros,
trademark,
promises_and_asyncawait,
see_also,
array_and_object_literals,
editions,
type_annotations,
automatic_memory_management,
indentation,
programming_examples,
rust_foundation,
other_implementations,
growth_and_standardization,
enumerated_types,
variables,
compatibility_with_javascript,
procedural_macros,
functions_as_object_constructors,
imperative_and_structured,
development_tools,
performance,
interface_with_c_and_c,
json,
ecosystem,
functions_as_methods,
website_client_side_usage,
classes,
for_loops_and_iterators,
trait_objects,
development,
typing,
references,
implementations,
loop_and_break_statements,
variadic_functions,
memory_management,
hardware_vulnerabilities,
types,
examples_of_scripted_behavior,
notes,
java,
versioning_system,
anonymous_function,
reaching_maturity,
transpilers,
class_libraries,
runtime_system,
design,
user_defined_types,
sources,
compiler,
the_rise_of_jscript,
delegative,
adoption_by_microsoft,
features,
cross_site_scripting,
standard_library,
asyncawait,
ownership,
mozilla_layoffs_and_rust_foundation_present,
languages_influenced_by_python,
community,
zero_based_numbering,
misplaced_trust_in_developers,
citations,
if_expressions,
in_academic_research,
release_history,
prototypes,
methods,
dynamic,
sandbox_implementation_errors,
functional,
regular_expressions,
memory_safety,
ide_and_editor_support,
governance_teams,
early_years_,
popularity,
adoption,
expressions,
no_longer_supported_implementations,
other_usage,
applet,
type_conversion,
use_outside_the_java_platform,
uses,
ide_support,
java_jvm_and_bytecode,
vendor_specific_extensions,
documentation,
security,
android,
webassembly,
naming,
special_classes,
hello_world,
object_orientation_prototype_based,
run_time_evaluation,
evolution_,
primitive_types,
versions,
development_environments,
statements_and_control_flow,
generics,
lifetimes,
further_reading,
javaserver_pages,
pattern_matching,
arithmetic_operations,
functions_as_roles_traits_and_mixins,
browser_and_plugin_coding_errors,
servo_and_early_adoption_,
hello_world_program,
non_jvm,
cross_compilers_to_other_languages,
principles